,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
60,60.0,0.3334,0.2859,0.1895,0.0627,0.0,0.0,0.3934,0.3538,0.0762,0.0072,0.0072,0.0,0.542,0.2473,0.0,0.0,0.0,0.0,0.3982,0.2859,0.1593,0.0072,0.0,0.0
61,61.0,0.3365,0.2932,0.1699,0.0715,0.0,0.0,0.4079,0.3574,0.0576,0.0074,0.0,0.0,0.55,0.2364,0.0,0.0,0.0,0.0,0.393,0.2932,0.1636,0.0,0.0,0.0
62,62.0,0.3266,0.2808,0.1649,0.1047,0.0,0.0,0.4032,0.356,0.0667,0.0069,0.0,0.0,0.5286,0.265,0.0,0.0,0.0,0.0,0.4032,0.2703,0.1649,0.0069,0.0069,0.0
63,63.0,0.3385,0.2805,0.1775,0.0695,0.0072,0.0,0.4031,0.3638,0.056,0.0072,0.0,0.0,0.5503,0.2303,0.0072,0.0,0.0,0.0,0.3885,0.2859,0.1593,0.0143,0.0072,0.0
64,64.0,0.3445,0.2607,0.1811,0.0882,0.0,0.0,0.4031,0.3496,0.0685,0.0141,0.0,0.0,0.5525,0.233,0.0,0.0,0.0,0.0,0.3983,0.277,0.1388,0.0141,0.0141,0.0141
65,65.0,0.3178,0.2826,0.1629,0.0972,0.0068,0.0135,0.4122,0.3614,0.053,0.0,0.0,0.0,0.539,0.246,0.0068,0.0,0.0,0.0,0.4167,0.2774,0.1512,0.0,0.0,0.0
66,66.0,0.3221,0.2624,0.1542,0.1193,0.0132,0.0132,0.4099,0.3784,0.0328,0.0,0.0,0.0,0.5345,0.2521,0.0066,0.0,0.0,0.0,0.4231,0.2776,0.1427,0.0,0.0,0.0
67,67.0,0.3147,0.2634,0.1869,0.1101,0.0068,0.0,0.4325,0.3587,0.027,0.0,0.0,0.0,0.5498,0.2367,0.0,0.0,0.0,0.0,0.41,0.2791,0.1344,0.0136,0.0068,0.0068
68,68.0,0.3191,0.2587,0.1722,0.126,0.0067,0.0,0.4122,0.3384,0.065,0.0133,0.0067,0.0,0.5373,0.2483,0.0067,0.0,0.0,0.0,0.3942,0.2944,0.126,0.0199,0.0133,0.0067
69,69.0,0.3097,0.2687,0.1754,0.1223,0.0068,0.0,0.41,0.3587,0.0533,0.0068,0.0,0.0,0.5258,0.2687,0.0,0.0,0.0,0.0,0.4055,0.2791,0.1344,0.0203,0.0068,0.0068
70,70.0,0.2968,0.2578,0.1872,0.1372,0.0073,0.0,0.4297,0.3603,0.029,0.0,0.0,0.0,0.5298,0.2578,0.0073,0.0,0.0,0.0,0.4152,0.2914,0.1243,0.0073,0.0073,0.0
71,71.0,0.3159,0.2678,0.1764,0.1082,0.0071,0.0071,0.4149,0.3666,0.0351,0.0071,0.0,0.0,0.539,0.2513,0.0,0.0,0.0,0.0,0.4102,0.2733,0.1082,0.0212,0.0212,0.0212
72,72.0,0.293,0.2497,0.1692,0.1511,0.0211,0.0071,0.4219,0.3644,0.0348,0.0,0.0,0.0,0.5151,0.277,0.0071,0.0,0.0,0.0,0.4265,0.277,0.0947,0.0211,0.0141,0.0141
73,73.0,0.2822,0.2601,0.1787,0.129,0.0215,0.0215,0.4151,0.3661,0.0356,0.0072,0.0,0.0,0.5323,0.2489,0.0144,0.0,0.0,0.0,0.4055,0.2985,0.1097,0.0144,0.0144,0.0072
74,74.0,0.3066,0.2428,0.1747,0.1354,0.0226,0.0076,0.4331,0.3505,0.0375,0.0,0.0,0.0,0.532,0.2606,0.0,0.0,0.0,0.0,0.4281,0.2896,0.0806,0.0152,0.0152,0.0152
75,75.0,0.3013,0.2719,0.1784,0.1178,0.0078,0.0078,0.4055,0.3791,0.0308,0.0078,0.0,0.0,0.537,0.2417,0.0078,0.0078,0.0,0.0,0.421,0.2539,0.1108,0.0308,0.0232,0.0155
76,76.0,0.3149,0.231,0.1731,0.1394,0.0233,0.0078,0.439,0.3598,0.0156,0.0,0.0,0.0,0.5171,0.2738,0.0078,0.0,0.0,0.0,0.4591,0.2738,0.0685,0.0078,0.0156,0.0078
